name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
Coca-Cola Original 354ml Lata,coca-cola-original-354ml-lata,Gaseosa cola sabor original en lata 354ml,1650,1100,100,10,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
Coca-Cola Zero Azúcar 354ml Lata,coca-cola-zero-354ml-lata,Gaseosa cola sin azúcar en lata 354ml,1650,1100,100,10,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
Coca-Cola Light 354ml Lata,coca-cola-light-354ml-lata,Gaseosa cola light en lata 354ml,1650,1100,100,10,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
Coca-Cola Original 500ml PET,coca-cola-original-500ml-pet,Gaseosa cola sabor original botella personal 500ml,2000,1350,100,10,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Coca-Cola Zero Azúcar 500ml PET,coca-cola-zero-500ml-pet,Gaseosa cola sin azúcar botella personal 500ml,2000,1350,100,10,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Coca-Cola Light 500ml PET,coca-cola-light-500ml-pet,Gaseosa cola light botella personal 500ml,2000,1350,100,10,bebidas,MICRO,540,23,7,7,1,BIKE|MOTO
Coca-Cola Original 1.5L PET,coca-cola-original-15l-pet,Gaseosa cola sabor original botella familiar 1.5 litros,3500,2350,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Coca-Cola Zero Azúcar 1.5L PET,coca-cola-zero-15l-pet,Gaseosa cola sin azúcar botella familiar 1.5 litros,3500,2350,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Coca-Cola Light 1.5L PET,coca-cola-light-15l-pet,Gaseosa cola light botella familiar 1.5 litros,3500,2350,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Coca-Cola Original 2.25L PET,coca-cola-original-225l-pet,Gaseosa cola sabor original botella 2.25 litros,5200,3500,50,5,bebidas,MEDIUM,2400,35,12,12,6,MOTO|CAR
Coca-Cola Zero Azúcar 2.25L PET,coca-cola-zero-225l-pet,Gaseosa cola sin azúcar botella 2.25 litros,5200,3500,50,5,bebidas,MEDIUM,2400,35,12,12,6,MOTO|CAR
Coca-Cola Light 2.25L PET,coca-cola-light-225l-pet,Gaseosa cola light botella 2.25 litros,5200,3500,50,5,bebidas,MEDIUM,2400,35,12,12,6,MOTO|CAR
Coca-Cola Original 2.5L PET,coca-cola-original-25l-pet,Gaseosa cola sabor original botella 2.5 litros,5800,3900,40,4,bebidas,MEDIUM,2700,36,12,12,6,MOTO|CAR
Coca-Cola Zero Azúcar 2.5L PET,coca-cola-zero-25l-pet,Gaseosa cola sin azúcar botella 2.5 litros,5800,3900,40,4,bebidas,MEDIUM,2700,36,12,12,6,MOTO|CAR
Coca-Cola Original 3L PET,coca-cola-original-3l-pet,Gaseosa cola sabor original botella familiar grande 3 litros,7200,4800,30,3,bebidas,MEDIUM,3250,39,13,13,6,MOTO|CAR
Fanta Naranja 354ml Lata,fanta-naranja-354ml-lata,Gaseosa de naranja Fanta en lata 354ml,1500,1000,100,10,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
Fanta Limón 354ml Lata,fanta-limon-354ml-lata,Gaseosa sabor limón Fanta en lata 354ml,1500,1000,100,10,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
Fanta Naranja 1.5L PET,fanta-naranja-15l-pet,Gaseosa de naranja Fanta botella familiar 1.5 litros,3200,2150,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Fanta Limón 1.5L PET,fanta-limon-15l-pet,Gaseosa sabor limón Fanta botella familiar 1.5 litros,3200,2150,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Fanta Naranja Zero 1.5L PET,fanta-naranja-zero-15l-pet,Gaseosa de naranja sin azúcar Fanta botella 1.5 litros,3200,2150,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Fanta Sandía 1.5L PET,fanta-sandia-15l-pet,Gaseosa sabor sandía Fanta botella 1.5 litros,3200,2150,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Fanta Naranja 2.25L PET,fanta-naranja-225l-pet,Gaseosa de naranja Fanta botella 2.25 litros,4900,3300,40,4,bebidas,MEDIUM,2400,35,12,12,6,MOTO|CAR
Fanta Limón 2.25L PET,fanta-limon-225l-pet,Gaseosa sabor limón Fanta botella 2.25 litros,4900,3300,40,4,bebidas,MEDIUM,2400,35,12,12,6,MOTO|CAR
Sprite 354ml Lata,sprite-354ml-lata,Gaseosa sabor lima-limón Sprite en lata 354ml,1500,1000,100,10,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
Sprite Zero 354ml Lata,sprite-zero-354ml-lata,Gaseosa lima-limón sin azúcar Sprite en lata 354ml,1500,1000,100,10,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
Sprite 1.5L PET,sprite-15l-pet,Gaseosa sabor lima-limón Sprite botella familiar 1.5 litros,3200,2150,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Sprite Zero 1.5L PET,sprite-zero-15l-pet,Gaseosa lima-limón sin azúcar Sprite botella 1.5 litros,3200,2150,60,6,bebidas,SMALL,1600,34,10,10,3,BIKE|MOTO|CAR
Sprite 2.25L PET,sprite-225l-pet,Gaseosa sabor lima-limón Sprite botella 2.25 litros,4900,3300,40,4,bebidas,MEDIUM,2400,35,12,12,6,MOTO|CAR
Sprite Zero 2.25L PET,sprite-zero-225l-pet,Gaseosa lima-limón sin azúcar Sprite botella 2.25 litros,4900,3300,40,4,bebidas,MEDIUM,2400,35,12,12,6,MOTO|CAR
Schweppes Agua Tónica 354ml Lata,schweppes-tonica-354ml-lata,Agua tónica Schweppes en lata 354ml,1650,1100,80,8,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
Schweppes Pomelo 354ml Lata,schweppes-pomelo-354ml-lata,Gaseosa sabor pomelo Schweppes en lata 354ml,1650,1100,80,8,bebidas,MICRO,380,12,7,7,1,BIKE|MOTO
