name,slug,description,price,costPrice,stock,minStock,categorySlug,packageCategory,maxWeightGrams,maxLengthCm,maxWidthCm,maxHeightCm,volumeScore,allowedVehicles
CITRIC NARANJA MANGO 500ml,citric-naranja-mango-500ml,Citric Naranja Mango 500Ml,2800,1820,100,5,kiosco,MICRO,540,23,7,7,1,BIKE|MOTO
CITRIC NARANJA 1L,citric-naranja-1l,Citric Naranja 1L,4500,2925,100,5,kiosco,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
CITRIC NARANJA 1.5L,citric-naranja-15l,Citric Naranja 1.5L,6500,4225,100,5,kiosco,SMALL,1650,34,10,10,3,BIKE|MOTO|CAR
"CITRIC FRUTOS DE ESTACION,DUR Y FRUT.1L",citric-frutos-de-estaciondur-y-frut1l,"Citric Frutos De Estacion,Dur Y Frut.1L",4500,2925,100,5,kiosco,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
"CITRIC FRUTOS DE ESTACION NARANJ.FRUT, 1L",citric-frutos-de-estacion-naranjfrut-1l,"Citric Frutos De Estacion Naranj.Frut, 1L",4500,2925,100,5,kiosco,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
CITRIC POMELO 1L,citric-pomelo-1l,Citric Pomelo 1L,4500,2925,100,5,kiosco,SMALL,1100,31,9,9,3,BIKE|MOTO|CAR
DURAZNO EN TROZOS OKEY 820kg,durazno-en-trozos-okey-820kg,Durazno En Trozos Okey 820Kg,3900,2535,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
OKEY PAPEL HIGIENICO X4,okey-papel-higienico-x4,Okey Papel Higienico X4,2600,1690,100,5,farmacia,MICRO,200,15,8,5,1,BIKE|MOTO
CHAMPIÑONES COINCO 400gr,champinones-coinco-400gr,Champiñones Coinco 400Gr,4700,3055,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
GUANTES OKEY M,guantes-okey-m,Guantes Okey M,2500,1625,100,5,kiosco,MICRO,200,15,8,5,1,BIKE|MOTO
